email_text,feature1_subject_length,feature2_body_length,feature3_exclamation_count,feature4_capital_ratio,feature5_has_free,feature6_has_offer,feature7_has_urgent,feature8_num_links,feature9_has_attachment,feature10_is_known_domain,label
"Asunto: ¡Alerta de Oferta Personalizada!
Cuerpo: Promoción exclusiva: Compra uno y lleva otro gratis. ¡Actúa rápido antes de que se agote! http://pD3Xvpy8.com",32,109,1,0.045871559633027525,1,1,1,3,0,0,SPAM
"Asunto: ¡50% de Descuento en Todos los Productos!
Cuerpo: ¡Has ganado un premio! Entra para reclamar tu regalo gratis. Detalles en http://EurLWD5A.com.",41,93,1,0.08602150537634409,1,0,0,5,1,0,SPAM
"Asunto: ¡Gana un iPhone Gratis!
Cuerpo: Promoción exclusiva: Compra uno y lleva otro gratis. ¡Actúa rápido antes de que se agote! http://gzFPgkUJ.com",23,109,1,0.06422018348623854,1,0,1,1,0,0,SPAM
"Asunto: ¡50% de Descuento en Todos los Productos!
Cuerpo: ¡Hola! No te pierdas esta oferta increíble en gadgets top. 20% off con código mKblKG. ¡Stock limitado! Visita http://jcNVi6wQ.com.",41,130,2,0.07692307692307693,0,1,1,1,1,0,SPAM
"Asunto: ¡Gana un iPhone Gratis!
Cuerpo: ¡Hola! No te pierdas esta oferta increíble en gadgets top. 20% off con código R6iAPG. ¡Stock limitado! Visita http://LSWQjYII.com.",23,130,2,0.11538461538461539,1,1,1,3,0,0,SPAM
"Asunto: ¡Prueba Nuestro Servicio Gratis!
Cuerpo: Promoción exclusiva: Compra uno y lleva otro gratis. ¡Actúa rápido antes de que se agote! http://lNnyMyoV.com",32,109,1,0.05504587155963303,1,0,1,4,0,0,SPAM
"Asunto: ¡Alerta de Oferta Personalizada!
Cuerpo: ¡Has ganado un premio! Entra para reclamar tu regalo gratis. Detalles en http://3iIP8NWI.com.",32,93,1,0.08602150537634409,1,1,0,1,0,0,SPAM
"Asunto: ¡50% de Descuento en Todos los Productos!
Cuerpo: Reclama tus muestras gratis ahora. Sin compra necesaria. ¡Date prisa, termina pronto! Haz clic en http://8ia6nXxC.com.",41,118,1,0.05084745762711865,1,0,1,1,1,0,SPAM
"Asunto: ¡50% de Descuento en Todos los Productos!
Cuerpo: ¡Has ganado un premio! Entra para reclamar tu regalo gratis. Detalles en http://EatG2xz5.com.",41,93,1,0.053763440860215055,1,0,0,1,0,1,SPAM
"Asunto: ¡Código de Descuento por Tiempo Limitado!
Cuerpo: Promoción exclusiva: Compra uno y lleva otro gratis. ¡Actúa rápido antes de que se agote! http://BNjgv9Ti.com",41,109,1,0.05504587155963303,1,0,1,2,1,1,SPAM
"Asunto: ¡Promoción VIP Exclusiva!
Cuerpo: Reclama tus muestras gratis ahora. Sin compra necesaria. ¡Date prisa, termina pronto! Haz clic en http://OcNyKssk.com.",25,118,1,0.059322033898305086,1,0,1,4,0,1,SPAM
"Asunto: ¡Código de Descuento por Tiempo Limitado!
Cuerpo: ¡Hola! No te pierdas esta oferta increíble en gadgets top. 20% off con código lOVuJ8. ¡Stock limitado! Visita http://LbMclkXZ.com.",41,130,2,0.08461538461538462,0,1,1,4,1,0,SPAM
"Asunto: ¡Promoción VIP Exclusiva!
Cuerpo: Promoción exclusiva: Compra uno y lleva otro gratis. ¡Actúa rápido antes de que se agote! http://Tld72y8E.com",25,109,1,0.045871559633027525,1,0,1,2,0,0,SPAM
"Asunto: ¡Prueba Nuestro Servicio Gratis!
Cuerpo: ¡Has ganado un premio! Entra para reclamar tu regalo gratis. Detalles en http://dKd7gWxl.com.",32,93,1,0.053763440860215055,1,0,0,5,1,0,SPAM
"Asunto: ¡Oferta Increíble en Gadgets!
Cuerpo: ¡Has ganado un premio! Entra para reclamar tu regalo gratis. Detalles en http://0ktbdqiJ.com.",29,93,1,0.043010752688172046,1,1,0,4,0,0,SPAM
"Asunto: ¡Haz Clic para Ahorros Instantáneos!
Cuerpo: Reclama tus muestras gratis ahora. Sin compra necesaria. ¡Date prisa, termina pronto! Haz clic en http://YrC4zZlX.com.",36,118,1,0.06779661016949153,1,0,1,4,0,0,SPAM
"Asunto: ¡Oferta Increíble en Gadgets!
Cuerpo: ¡Has ganado un premio! Entra para reclamar tu regalo gratis. Detalles en http://AtMxdYyG.com.",29,93,1,0.07526881720430108,1,1,0,1,0,0,SPAM
"Asunto: ¡Gana un iPhone Gratis!
Cuerpo: ¡Has ganado un premio! Entra para reclamar tu regalo gratis. Detalles en http://wMHCwZrn.com.",23,93,1,0.07526881720430108,1,0,0,1,1,0,SPAM
"Asunto: ¡Prueba Nuestro Servicio Gratis!
Cuerpo: Reclama tus muestras gratis ahora. Sin compra necesaria. ¡Date prisa, termina pronto! Haz clic en http://n16j20am.com.",32,118,1,0.03389830508474576,1,0,1,4,1,0,SPAM
"Asunto: ¡Alerta de Oferta Personalizada!
Cuerpo: Reclama tus muestras gratis ahora. Sin compra necesaria. ¡Date prisa, termina pronto! Haz clic en http://iWostXur.com.",32,118,1,0.05084745762711865,1,1,1,4,1,0,SPAM
"Asunto: ¡Gana un iPhone Gratis!
Cuerpo: ¡Has ganado un premio! Entra para reclamar tu regalo gratis. Detalles en http://QZszL8k6.com.",23,93,1,0.06451612903225806,1,0,0,2,0,0,SPAM
"Asunto: ¡Venta Flash Ahora!
Cuerpo: Descuento especial para ti: Ahorra mucho en moda. Compra ahora en http://d3LpirrE.com.",19,86,0,0.05813953488372093,0,0,1,4,1,0,SPAM
"Asunto: ¡Venta Flash Ahora!
Cuerpo: Promoción exclusiva: Compra uno y lleva otro gratis. ¡Actúa rápido antes de que se agote! http://NRfcw3CS.com",19,109,1,0.06422018348623854,1,0,1,2,0,0,SPAM
"Asunto: ¡Oferta Increíble en Gadgets!
Cuerpo: Descuento especial para ti: Ahorra mucho en moda. Compra ahora en http://0U11sOmA.com.",29,86,0,0.06976744186046512,0,1,1,4,1,0,SPAM
"Asunto: ¡Prueba Nuestro Servicio Gratis!
Cuerpo: Reclama tus muestras gratis ahora. Sin compra necesaria. ¡Date prisa, termina pronto! Haz clic en http://OccYxqRp.com.",32,118,1,0.059322033898305086,1,0,1,3,1,0,SPAM
"Asunto: ¡Promoción VIP Exclusiva!
Cuerpo: ¡Has ganado un premio! Entra para reclamar tu regalo gratis. Detalles en http://SQaZFpHg.com.",25,93,1,0.08602150537634409,1,0,0,3,1,1,SPAM
"Asunto: ¡Venta Flash Ahora!
Cuerpo: Promoción exclusiva: Compra uno y lleva otro gratis. ¡Actúa rápido antes de que se agote! http://qhePT2lY.com",19,109,1,0.05504587155963303,1,0,1,5,1,1,SPAM
"Asunto: ¡Haz Clic para Ahorros Instantáneos!
Cuerpo: Promoción exclusiva: Compra uno y lleva otro gratis. ¡Actúa rápido antes de que se agote! http://md2FMXwr.com",36,109,1,0.05504587155963303,1,0,1,5,0,1,SPAM
"Asunto: ¡Código de Descuento por Tiempo Limitado!
Cuerpo: Reclama tus muestras gratis ahora. Sin compra necesaria. ¡Date prisa, termina pronto! Haz clic en http://zc5d92Ox.com.",41,118,1,0.0423728813559322,1,0,1,2,0,0,SPAM
"Asunto: ¡Prueba Nuestro Servicio Gratis!
Cuerpo: Promoción exclusiva: Compra uno y lleva otro gratis. ¡Actúa rápido antes de que se agote! http://3c19ZmAc.com",32,109,1,0.045871559633027525,1,0,1,4,1,0,SPAM
"Asunto: ¡Haz Clic para Ahorros Instantáneos!
Cuerpo: Reclama tus muestras gratis ahora. Sin compra necesaria. ¡Date prisa, termina pronto! Haz clic en http://ZOAZoego.com.",36,118,1,0.06779661016949153,1,0,1,2,1,0,SPAM
"Asunto: ¡50% de Descuento en Todos los Productos!
Cuerpo: Reclama tus muestras gratis ahora. Sin compra necesaria. ¡Date prisa, termina pronto! Haz clic en http://7bthd3WK.com.",41,118,1,0.05084745762711865,1,0,1,1,1,0,SPAM
"Asunto: ¡Gana un iPhone Gratis!
Cuerpo: Descuento especial para ti: Ahorra mucho en moda. Compra ahora en http://8Wi7364S.com.",23,86,0,0.05813953488372093,1,0,1,5,1,0,SPAM
"Asunto: ¡Muestras Gratis Hoy!
Cuerpo: Descuento especial para ti: Ahorra mucho en moda. Compra ahora en http://ZaQiv0HU.com.",21,86,0,0.08139534883720931,1,0,1,5,1,0,SPAM
"Asunto: ¡Haz Clic para Ahorros Instantáneos!
Cuerpo: ¡Hola! No te pierdas esta oferta increíble en gadgets top. 20% off con código 1oZlFa. ¡Stock limitado! Visita http://FMWvmxIO.com.",36,130,2,0.08461538461538462,0,1,1,2,0,0,SPAM
"Asunto: ¡50% de Descuento en Todos los Productos!
Cuerpo: Descuento especial para ti: Ahorra mucho en moda. Compra ahora en http://7euStzVG.com.",41,86,0,0.06976744186046512,0,0,1,3,1,0,SPAM
"Asunto: ¡Código de Descuento por Tiempo Limitado!
Cuerpo: Promoción exclusiva: Compra uno y lleva otro gratis. ¡Actúa rápido antes de que se agote! http://JXuRQl3p.com",41,109,1,0.06422018348623854,1,0,1,1,0,0,SPAM
"Asunto: ¡Promoción VIP Exclusiva!
Cuerpo: Promoción exclusiva: Compra uno y lleva otro gratis. ¡Actúa rápido antes de que se agote! http://KI3UdQPH.com",25,109,1,0.08256880733944955,1,0,1,4,1,0,SPAM
"Asunto: ¡50% de Descuento en Todos los Productos!
Cuerpo: Descuento especial para ti: Ahorra mucho en moda. Compra ahora en http://d0bW3Xos.com.",41,86,0,0.05813953488372093,0,0,1,1,1,0,SPAM
"Asunto: ¡Gana un iPhone Gratis!
Cuerpo: ¡Hola! No te pierdas esta oferta increíble en gadgets top. 20% off con código LeweAJ. ¡Stock limitado! Visita http://5BlmNgrD.com.",23,130,2,0.07692307692307693,1,1,1,3,1,1,SPAM
"Asunto: ¡Venta Flash Ahora!
Cuerpo: ¡Has ganado un premio! Entra para reclamar tu regalo gratis. Detalles en http://KOUNM189.com.",19,93,1,0.08602150537634409,1,0,0,1,0,1,SPAM
"Asunto: ¡Oferta Increíble en Gadgets!
Cuerpo: Descuento especial para ti: Ahorra mucho en moda. Compra ahora en http://O2z3rjFs.com.",29,86,0,0.05813953488372093,0,1,1,1,0,0,SPAM
"Asunto: ¡Código de Descuento por Tiempo Limitado!
Cuerpo: Promoción exclusiva: Compra uno y lleva otro gratis. ¡Actúa rápido antes de que se agote! http://5SwX3wGD.com",41,109,1,0.06422018348623854,1,0,1,4,1,0,SPAM
"Asunto: ¡50% de Descuento en Todos los Productos!
Cuerpo: ¡Has ganado un premio! Entra para reclamar tu regalo gratis. Detalles en http://zN7dYpf8.com.",41,93,1,0.053763440860215055,1,0,0,1,1,0,SPAM
"Asunto: ¡Alerta de Oferta Personalizada!
Cuerpo: Reclama tus muestras gratis ahora. Sin compra necesaria. ¡Date prisa, termina pronto! Haz clic en http://JjuF6sDC.com.",32,118,1,0.06779661016949153,1,1,1,1,0,0,SPAM
"Asunto: ¡Alerta de Oferta Personalizada!
Cuerpo: Reclama tus muestras gratis ahora. Sin compra necesaria. ¡Date prisa, termina pronto! Haz clic en http://9OJvEtDm.com.",32,118,1,0.06779661016949153,1,1,1,3,1,1,SPAM
"Asunto: ¡50% de Descuento en Todos los Productos!
Cuerpo: ¡Has ganado un premio! Entra para reclamar tu regalo gratis. Detalles en http://Nu15gm9V.com.",41,93,1,0.053763440860215055,1,0,0,2,1,1,SPAM
"Asunto: ¡Alerta de Oferta Personalizada!
Cuerpo: Descuento especial para ti: Ahorra mucho en moda. Compra ahora en http://Y3L2fodH.com.",32,86,0,0.06976744186046512,0,1,1,2,0,0,SPAM
"Asunto: ¡Oferta Increíble en Gadgets!
Cuerpo: Promoción exclusiva: Compra uno y lleva otro gratis. ¡Actúa rápido antes de que se agote! http://tNPZwKNE.com",29,109,1,0.08256880733944955,1,1,1,2,0,0,SPAM
"Asunto: ¡Haz Clic para Ahorros Instantáneos!
Cuerpo: Descuento especial para ti: Ahorra mucho en moda. Compra ahora en http://CYGCfszi.com.",36,86,0,0.08139534883720931,0,0,1,1,0,0,SPAM
"Asunto: ¡Gana un iPhone Gratis!
Cuerpo: ¡Hola! No te pierdas esta oferta increíble en gadgets top. 20% off con código zuDoQX. ¡Stock limitado! Visita http://8Yg8QRWp.com.",23,130,2,0.08461538461538462,1,1,1,5,1,0,SPAM
"Asunto: ¡50% de Descuento en Todos los Productos!
Cuerpo: Reclama tus muestras gratis ahora. Sin compra necesaria. ¡Date prisa, termina pronto! Haz clic en http://hGcWnudk.com.",41,118,1,0.05084745762711865,1,0,1,5,0,0,SPAM
"Asunto: ¡Muestras Gratis Hoy!
Cuerpo: ¡Hola! No te pierdas esta oferta increíble en gadgets top. 20% off con código pVeN4R. ¡Stock limitado! Visita http://8bue3C8i.com.",21,130,2,0.06153846153846154,1,1,1,3,0,0,SPAM
"Asunto: ¡Promoción VIP Exclusiva!
Cuerpo: Descuento especial para ti: Ahorra mucho en moda. Compra ahora en http://gxzWpCVJ.com.",25,86,0,0.08139534883720931,0,0,1,3,1,0,SPAM
"Asunto: ¡Gana un iPhone Gratis!
Cuerpo: Reclama tus muestras gratis ahora. Sin compra necesaria. ¡Date prisa, termina pronto! Haz clic en http://W4lpnRYx.com.",23,118,1,0.059322033898305086,1,0,1,5,0,0,SPAM
"Asunto: ¡Venta Flash Ahora!
Cuerpo: ¡Hola! No te pierdas esta oferta increíble en gadgets top. 20% off con código B6ZGbP. ¡Stock limitado! Visita http://RWVHRrw0.com.",19,130,2,0.1,0,1,1,5,0,1,SPAM
"Asunto: ¡50% de Descuento en Todos los Productos!
Cuerpo: ¡Has ganado un premio! Entra para reclamar tu regalo gratis. Detalles en http://2fzthKyu.com.",41,93,1,0.043010752688172046,1,0,0,2,0,0,SPAM
"Asunto: ¡Código de Descuento por Tiempo Limitado!
Cuerpo: Descuento especial para ti: Ahorra mucho en moda. Compra ahora en http://t1wqtdio.com.",41,86,0,0.03488372093023256,0,0,1,1,0,0,SPAM
"Asunto: ¡Muestras Gratis Hoy!
Cuerpo: ¡Has ganado un premio! Entra para reclamar tu regalo gratis. Detalles en http://ITeNgoHf.com.",21,93,1,0.07526881720430108,1,0,0,5,0,0,SPAM
"Asunto: ¡Oferta Increíble en Gadgets!
Cuerpo: Promoción exclusiva: Compra uno y lleva otro gratis. ¡Actúa rápido antes de que se agote! http://w222DUQg.com",29,109,1,0.05504587155963303,1,1,1,4,0,0,SPAM
"Asunto: ¡Gana un iPhone Gratis!
Cuerpo: ¡Hola! No te pierdas esta oferta increíble en gadgets top. 20% off con código wwUrL5. ¡Stock limitado! Visita http://pnEK8tPj.com.",23,130,2,0.06923076923076923,1,1,1,4,0,0,SPAM
"Asunto: ¡50% de Descuento en Todos los Productos!
Cuerpo: Reclama tus muestras gratis ahora. Sin compra necesaria. ¡Date prisa, termina pronto! Haz clic en http://03HwkATe.com.",41,118,1,0.059322033898305086,1,0,1,2,1,0,SPAM
"Asunto: ¡Haz Clic para Ahorros Instantáneos!
Cuerpo: Descuento especial para ti: Ahorra mucho en moda. Compra ahora en http://490ekxcn.com.",36,86,0,0.03488372093023256,0,0,1,2,0,0,SPAM
"Asunto: ¡Oferta Increíble en Gadgets!
Cuerpo: Reclama tus muestras gratis ahora. Sin compra necesaria. ¡Date prisa, termina pronto! Haz clic en http://pu0Ah0ac.com.",29,118,1,0.0423728813559322,1,1,1,3,1,0,SPAM
"Asunto: ¡Venta Flash Ahora!
Cuerpo: ¡Has ganado un premio! Entra para reclamar tu regalo gratis. Detalles en http://4lRsKPbx.com.",19,93,1,0.06451612903225806,1,0,0,1,1,0,SPAM
"Asunto: ¡Código de Descuento por Tiempo Limitado!
Cuerpo: Descuento especial para ti: Ahorra mucho en moda. Compra ahora en http://L7I6U7Mq.com.",41,86,0,0.08139534883720931,0,0,1,4,0,1,SPAM
"Asunto: ¡Alerta de Oferta Personalizada!
Cuerpo: ¡Has ganado un premio! Entra para reclamar tu regalo gratis. Detalles en http://Dr03qAZT.com.",32,93,1,0.07526881720430108,1,1,0,2,0,0,SPAM
"Asunto: ¡Alerta de Oferta Personalizada!
Cuerpo: Promoción exclusiva: Compra uno y lleva otro gratis. ¡Actúa rápido antes de que se agote! http://PPskcNrE.com",32,109,1,0.06422018348623854,1,1,1,1,0,0,SPAM
"Asunto: ¡Venta Flash Ahora!
Cuerpo: ¡Has ganado un premio! Entra para reclamar tu regalo gratis. Detalles en http://wjBJBaxr.com.",19,93,1,0.06451612903225806,1,0,0,3,0,0,SPAM
"Asunto: ¡Venta Flash Ahora!
Cuerpo: ¡Has ganado un premio! Entra para reclamar tu regalo gratis. Detalles en http://8KGYS8BB.com.",19,93,1,0.0967741935483871,1,0,0,4,0,0,SPAM
"Asunto: ¡Prueba Nuestro Servicio Gratis!
Cuerpo: ¡Has ganado un premio! Entra para reclamar tu regalo gratis. Detalles en http://Agf5DwQF.com.",32,93,1,0.07526881720430108,1,0,0,3,0,0,SPAM
"Asunto: ¡50% de Descuento en Todos los Productos!
Cuerpo: Reclama tus muestras gratis ahora. Sin compra necesaria. ¡Date prisa, termina pronto! Haz clic en http://QstW2ihY.com.",41,118,1,0.059322033898305086,1,0,1,2,1,0,SPAM
"Asunto: ¡Código de Descuento por Tiempo Limitado!
Cuerpo: Reclama tus muestras gratis ahora. Sin compra necesaria. ¡Date prisa, termina pronto! Haz clic en http://c1yBmxWE.com.",41,118,1,0.059322033898305086,1,0,1,3,0,0,SPAM
"Asunto: ¡Haz Clic para Ahorros Instantáneos!
Cuerpo: Descuento especial para ti: Ahorra mucho en moda. Compra ahora en http://1557tPr3.com.",36,86,0,0.046511627906976744,0,0,1,4,1,0,SPAM
"Asunto: ¡Código de Descuento por Tiempo Limitado!
Cuerpo: ¡Hola! No te pierdas esta oferta increíble en gadgets top. 20% off con código aVnLWm. ¡Stock limitado! Visita http://XmsLKszW.com.",41,130,2,0.08461538461538462,0,1,1,4,1,0,SPAM
"Asunto: ¡Gana un iPhone Gratis!
Cuerpo: Descuento especial para ti: Ahorra mucho en moda. Compra ahora en http://AmVIGgWa.com.",23,86,0,0.09302325581395349,1,0,1,3,1,0,SPAM
"Asunto: ¡Muestras Gratis Hoy!
Cuerpo: Promoción exclusiva: Compra uno y lleva otro gratis. ¡Actúa rápido antes de que se agote! http://njthdwq5.com",21,109,1,0.027522935779816515,1,0,1,5,1,0,SPAM
"Asunto: ¡Promoción VIP Exclusiva!
Cuerpo: Descuento especial para ti: Ahorra mucho en moda. Compra ahora en http://c3iCbWK3.com.",25,86,0,0.06976744186046512,0,0,1,2,0,0,SPAM
"Asunto: ¡Venta Flash Ahora!
Cuerpo: Descuento especial para ti: Ahorra mucho en moda. Compra ahora en http://V8a0cKWd.com.",19,86,0,0.06976744186046512,0,0,1,5,1,1,SPAM
"Asunto: ¡Gana un iPhone Gratis!
Cuerpo: ¡Hola! No te pierdas esta oferta increíble en gadgets top. 20% off con código MlxaU7. ¡Stock limitado! Visita http://vhvrGTlV.com.",23,130,2,0.06923076923076923,1,1,1,1,1,0,SPAM
"Asunto: ¡Prueba Nuestro Servicio Gratis!
Cuerpo: Reclama tus muestras gratis ahora. Sin compra necesaria. ¡Date prisa, termina pronto! Haz clic en http://NvJFNbne.com.",32,118,1,0.06779661016949153,1,0,1,2,1,0,SPAM
"Asunto: ¡Prueba Nuestro Servicio Gratis!
Cuerpo: ¡Hola! No te pierdas esta oferta increíble en gadgets top. 20% off con código rm3L4J. ¡Stock limitado! Visita http://WPlYwvtA.com.",32,130,2,0.07692307692307693,1,1,1,2,1,1,SPAM
"Asunto: ¡Prueba Nuestro Servicio Gratis!
Cuerpo: Reclama tus muestras gratis ahora. Sin compra necesaria. ¡Date prisa, termina pronto! Haz clic en http://9KENrMfq.com.",32,118,1,0.06779661016949153,1,0,1,1,0,0,SPAM
"Asunto: ¡Gana un iPhone Gratis!
Cuerpo: Descuento especial para ti: Ahorra mucho en moda. Compra ahora en http://n3NJaMUe.com.",23,86,0,0.08139534883720931,1,0,1,4,1,0,SPAM
"Asunto: ¡Haz Clic para Ahorros Instantáneos!
Cuerpo: ¡Hola! No te pierdas esta oferta increíble en gadgets top. 20% off con código Dv4PL1. ¡Stock limitado! Visita http://w28chxJm.com.",36,130,2,0.06153846153846154,0,1,1,4,0,0,SPAM
"Asunto: ¡Promoción VIP Exclusiva!
Cuerpo: ¡Hola! No te pierdas esta oferta increíble en gadgets top. 20% off con código PF3MrE. ¡Stock limitado! Visita http://yGz38iEt.com.",25,130,2,0.07692307692307693,0,1,1,1,0,0,SPAM
"Asunto: ¡Código de Descuento por Tiempo Limitado!
Cuerpo: Promoción exclusiva: Compra uno y lleva otro gratis. ¡Actúa rápido antes de que se agote! http://5IUgFbnz.com",41,109,1,0.05504587155963303,1,0,1,2,1,0,SPAM
"Asunto: ¡50% de Descuento en Todos los Productos!
Cuerpo: Promoción exclusiva: Compra uno y lleva otro gratis. ¡Actúa rápido antes de que se agote! http://saUvD0xe.com",41,109,1,0.045871559633027525,1,0,1,3,0,0,SPAM
"Asunto: ¡Promoción VIP Exclusiva!
Cuerpo: Promoción exclusiva: Compra uno y lleva otro gratis. ¡Actúa rápido antes de que se agote! http://c7et3YHx.com",25,109,1,0.045871559633027525,1,0,1,2,0,0,SPAM
"Asunto: ¡Gana un iPhone Gratis!
Cuerpo: ¡Has ganado un premio! Entra para reclamar tu regalo gratis. Detalles en http://QILHINBn.com.",23,93,1,0.10752688172043011,1,0,0,2,1,0,SPAM
"Asunto: ¡50% de Descuento en Todos los Productos!
Cuerpo: ¡Hola! No te pierdas esta oferta increíble en gadgets top. 20% off con código VCrXYF. ¡Stock limitado! Visita http://4qnStXrf.com.",41,130,2,0.08461538461538462,0,1,1,2,1,1,SPAM
"Asunto: ¡Haz Clic para Ahorros Instantáneos!
Cuerpo: Reclama tus muestras gratis ahora. Sin compra necesaria. ¡Date prisa, termina pronto! Haz clic en http://gbNKf9Sc.com.",36,118,1,0.059322033898305086,1,0,1,4,0,0,SPAM
"Asunto: ¡Prueba Nuestro Servicio Gratis!
Cuerpo: ¡Has ganado un premio! Entra para reclamar tu regalo gratis. Detalles en http://TmOd5tPp.com.",32,93,1,0.06451612903225806,1,0,0,4,0,0,SPAM
"Asunto: ¡Promoción VIP Exclusiva!
Cuerpo: ¡Has ganado un premio! Entra para reclamar tu regalo gratis. Detalles en http://9bB6jjM5.com.",25,93,1,0.053763440860215055,1,0,0,1,0,0,SPAM
"Asunto: ¡50% de Descuento en Todos los Productos!
Cuerpo: Promoción exclusiva: Compra uno y lleva otro gratis. ¡Actúa rápido antes de que se agote! http://Sg2LXUeV.com",41,109,1,0.07339449541284404,1,0,1,4,0,0,SPAM
"Asunto: ¡Oferta Increíble en Gadgets!
Cuerpo: ¡Has ganado un premio! Entra para reclamar tu regalo gratis. Detalles en http://PMnppuOF.com.",29,93,1,0.07526881720430108,1,1,0,3,0,0,SPAM
"Asunto: ¡Gana un iPhone Gratis!
Cuerpo: ¡Has ganado un premio! Entra para reclamar tu regalo gratis. Detalles en http://XjxUfGKe.com.",23,93,1,0.07526881720430108,1,0,0,2,1,0,SPAM
"Asunto: ¡Muestras Gratis Hoy!
Cuerpo: ¡Hola! No te pierdas esta oferta increíble en gadgets top. 20% off con código 3nUd9x. ¡Stock limitado! Visita http://EMlVuFBo.com.",21,130,2,0.07692307692307693,1,1,1,5,1,0,SPAM
"Asunto: ¡Muestras Gratis Hoy!
Cuerpo: Reclama tus muestras gratis ahora. Sin compra necesaria. ¡Date prisa, termina pronto! Haz clic en http://0FzCn5AC.com.",21,118,1,0.06779661016949153,1,0,1,4,1,0,SPAM
"Asunto: ¡Muestras Gratis Hoy!
Cuerpo: Reclama tus muestras gratis ahora. Sin compra necesaria. ¡Date prisa, termina pronto! Haz clic en http://7iewZ1Md.com.",21,118,1,0.05084745762711865,1,0,1,4,0,0,SPAM
"Asunto: ¡Oferta Increíble en Gadgets!
Cuerpo: Descuento especial para ti: Ahorra mucho en moda. Compra ahora en http://wYzE3kCU.com.",29,86,0,0.08139534883720931,0,1,1,1,0,0,SPAM
"Asunto: ¡Oferta Increíble en Gadgets!
Cuerpo: Reclama tus muestras gratis ahora. Sin compra necesaria. ¡Date prisa, termina pronto! Haz clic en http://0qWPrKl8.com.",29,118,1,0.059322033898305086,1,1,1,1,1,0,SPAM
"Asunto: ¡50% de Descuento en Todos los Productos!
Cuerpo: ¡Hola! No te pierdas esta oferta increíble en gadgets top. 20% off con código 39E5Ln. ¡Stock limitado! Visita http://K2J3mhYk.com.",41,130,2,0.06923076923076923,0,1,1,1,1,0,SPAM
"Asunto: ¡50% de Descuento en Todos los Productos!
Cuerpo: Promoción exclusiva: Compra uno y lleva otro gratis. ¡Actúa rápido antes de que se agote! http://QOLbmOUK.com",41,109,1,0.08256880733944955,1,0,1,4,0,0,SPAM
"Asunto: ¡Muestras Gratis Hoy!
Cuerpo: Promoción exclusiva: Compra uno y lleva otro gratis. ¡Actúa rápido antes de que se agote! http://NYGfDk4E.com",21,109,1,0.07339449541284404,1,0,1,4,0,0,SPAM
"Asunto: ¡Gana un iPhone Gratis!
Cuerpo: ¡Hola! No te pierdas esta oferta increíble en gadgets top. 20% off con código IYTRIS. ¡Stock limitado! Visita http://e3SOuDJB.com.",23,130,2,0.11538461538461539,1,1,1,4,0,0,SPAM
